,kic_primary,gaia_id_primary,gaia_id_match,chisq,dec_match_gaia,dec_match_keptime,ra_match_gaia,ra_match_keptime
0,757450,2.05E+18,2.05E+18,13.57680416,36.56450233,36.56451952,291.1584747,291.158473
1,757450,2.05E+18,2.05E+18,28.05057144,36.60565257,36.60567347,291.1372317,291.1372289
2,757450,2.05E+18,2.05E+18,18.55375099,36.58990432,36.58990862,291.1521575,291.15216
3,757450,2.05E+18,2.05E+18,29.13201141,36.59006951,36.5900806,291.1408823,291.1408917
4,757450,2.05E+18,2.05E+18,12.79059029,36.59463987,36.59466366,291.1559626,291.1559652
5,757450,2.05E+18,2.05E+18,5.471142769,36.56838441,36.56839828,291.1102252,291.1102218
6,757450,2.05E+18,2.05E+18,14.10504246,36.59224128,36.59224921,291.1190452,291.1190498
7,757450,2.05E+18,2.05E+18,7.49344635,36.56777706,36.5677749,291.1423504,291.1423326
8,757450,2.05E+18,2.05E+18,33.44062805,36.54949392,36.54952704,291.1472699,291.1472919
9,757450,2.05E+18,2.05E+18,27.57595444,36.57411952,36.5741517,291.1742093,291.1742168
10,757450,2.05E+18,2.05E+18,16.03057861,36.56028828,36.56029149,291.1467483,291.1467465
11,757450,2.05E+18,2.05E+18,6.126274109,36.55324391,36.55323684,291.1479409,291.1479118
12,757450,2.05E+18,2.05E+18,9.692312241,36.57860641,36.57863572,291.1628495,291.162837
13,757450,2.05E+18,2.05E+18,16.14251328,36.56053579,36.56055041,291.1324925,291.1324901
14,757450,2.05E+18,2.05E+18,28.19107819,36.57609795,36.57611773,291.1763042,291.1763008
15,757450,2.05E+18,2.05E+18,9.342922211,36.60703311,36.60704068,291.1439641,291.1439632
16,757450,2.05E+18,2.05E+18,17.79924965,36.5904438,36.59046763,291.1081631,291.1081912
17,1873513,2.05E+18,2.05E+18,31.08265305,37.40908745,37.4091441,292.5845709,292.5845951
18,2307199,2.05E+18,2.05E+18,5.052307129,37.66079759,37.66079967,292.3866778,292.386682
19,2307199,2.05E+18,2.05E+18,1.888817191,37.61467463,37.61467594,292.3543553,292.3543638
20,2307199,2.05E+18,2.05E+18,6.467598915,37.63154981,37.63155579,292.3759468,292.3759573
21,2307199,2.05E+18,2.05E+18,10.43689632,37.64578435,37.64581038,292.3684029,292.3684127
22,2307199,2.05E+18,2.05E+18,15.15293884,37.61188712,37.61189943,292.3609376,292.3609435
23,2307199,2.05E+18,2.05E+18,13.29746056,37.62964034,37.6296712,292.3526738,292.3526843
24,2307199,2.05E+18,2.05E+18,5.869271278,37.60975058,37.60975458,292.4053126,292.4053046
25,2307199,2.05E+18,2.05E+18,32.99019241,37.62064587,37.62065009,292.3555822,292.3555874
26,2307199,2.05E+18,2.05E+18,30.56016541,37.62580817,37.62579743,292.3893329,292.3893308
27,2307199,2.05E+18,2.05E+18,21.41680527,37.61160501,37.61160926,292.3747509,292.3747717
28,2307199,2.05E+18,2.05E+18,14.93383503,37.64659985,37.6466106,292.3907712,292.3907777
29,2307199,2.05E+18,2.05E+18,1.011452198,37.60335475,37.60336302,292.366907,292.3669118
30,2307199,2.05E+18,2.05E+18,4.870258331,37.60441937,37.6044058,292.3809778,292.3809838
31,2307199,2.05E+18,2.05E+18,18.27634239,37.61088619,37.61088698,292.3927845,292.3927823
32,2307199,2.05E+18,2.05E+18,11.0978508,37.61269487,37.61271098,292.3397266,292.339736
33,2307199,2.05E+18,2.05E+18,21.42355919,37.62864122,37.62865569,292.3640395,292.3640471
34,2307199,2.05E+18,2.05E+18,9.039295197,37.61226294,37.61229096,292.349092,292.3491004
35,2307199,2.05E+18,2.05E+18,23.23384285,37.62222135,37.62223677,292.3399465,292.3399631
36,2307199,2.05E+18,2.05E+18,23.56940269,37.65986595,37.659888,292.3820509,292.3820709
37,2307199,2.05E+18,2.05E+18,23.68862534,37.64527106,37.6452857,292.4034933,292.4035029
38,2307199,2.05E+18,2.05E+18,1.599085569,37.60329287,37.60329674,292.3621217,292.3621243
39,2307199,2.05E+18,2.05E+18,7.738183975,37.62436187,37.62437166,292.4122343,292.4122303
40,2307199,2.05E+18,2.05E+18,13.03494072,37.63310505,37.63311258,292.3536727,292.3536835
41,2307199,2.05E+18,2.05E+18,15.77679825,37.64758001,37.64759901,292.4004816,292.4004857
42,2307199,2.05E+18,2.05E+18,7.451388359,37.61764196,37.61764601,292.3575881,292.3575983
43,2307199,2.05E+18,2.05E+18,3.663612604,37.61045207,37.61045497,292.3473824,292.3473943
44,2307199,2.05E+18,2.05E+18,18.84267426,37.65406474,37.65408328,292.390636,292.3906365
45,2307199,2.05E+18,2.05E+18,8.163264275,37.61270253,37.6127003,292.4045378,292.4045429
46,2307199,2.05E+18,2.05E+18,7.285436153,37.61410497,37.61411111,292.3666671,292.366678
47,2307199,2.05E+18,2.05E+18,20.06473923,37.65885418,37.65886679,292.3751994,292.3752074
48,2307199,2.05E+18,2.05E+18,26.52215958,37.62691006,37.62692213,292.3339427,292.3339405
49,2307199,2.05E+18,2.05E+18,9.729113579,37.65594764,37.65596049,292.3796827,292.3796922
50,2307199,2.05E+18,2.05E+18,10.36728382,37.65921546,37.6592205,292.3892663,292.3892433
51,2307199,2.05E+18,2.05E+18,11.255476,37.63822625,37.63824165,292.4124318,292.4124395
52,2307199,2.05E+18,2.05E+18,32.53438187,37.61102535,37.61105513,292.3832743,292.3833032
53,2307199,2.05E+18,2.05E+18,3.402760506,37.63673569,37.6367388,292.4134051,292.4134127
54,2307199,2.05E+18,2.05E+18,24.62905121,37.6599238,37.65995183,292.3753764,292.3753941
55,2307199,2.05E+18,2.05E+18,4.365651608,37.64884466,37.64885058,292.3646281,292.364614
56,2307199,2.05E+18,2.05E+18,15.72282219,37.64701399,37.64702281,292.3764522,292.3764602
57,2307199,2.05E+18,2.05E+18,1.452260375,37.61442625,37.61442298,292.4001414,292.4001404
58,2307199,2.05E+18,2.05E+18,27.97347069,37.63055545,37.63057442,292.399598,292.3996153
59,2307199,2.05E+18,2.05E+18,12.04004669,37.62362146,37.62363229,292.3828693,292.3828816
60,2307199,2.05E+18,2.05E+18,16.1593399,37.65089295,37.65091161,292.3788584,292.3788743
61,2307199,2.05E+18,2.05E+18,14.07470226,37.60591751,37.60593624,292.3557748,292.3557886
62,2307199,2.05E+18,2.05E+18,21.70919037,37.63587252,37.63589812,292.370818,292.3708139
63,2307199,2.05E+18,2.05E+18,41.86407089,37.64941753,37.64942855,292.398321,292.3983428
64,2307199,2.05E+18,2.05E+18,13.22768402,37.62080121,37.62080866,292.4126931,292.4127024
65,2307199,2.05E+18,2.05E+18,23.83639526,37.60190946,37.60191982,292.3909639,292.3909817
66,2307199,2.05E+18,2.05E+18,20.2772274,37.66338121,37.66340073,292.3657363,292.3657499
67,2307199,2.05E+18,2.05E+18,19.54881096,37.63703778,37.63705026,292.3348685,292.3348742
68,2307199,2.05E+18,2.05E+18,2.877854586,37.63721126,37.63721525,292.3783743,292.3783776
69,2307199,2.05E+18,2.05E+18,12.87155724,37.63690496,37.63691542,292.3757713,292.3757766
70,2307199,2.05E+18,2.05E+18,7.392081261,37.63645508,37.63646799,292.340234,292.3402415
71,2307199,2.05E+18,2.05E+18,2.494901657,37.60494459,37.60495848,292.3705578,292.3705673
72,2307199,2.05E+18,2.05E+18,10.77341557,37.64569402,37.64570134,292.3968962,292.3969079
73,2307199,2.05E+18,2.05E+18,38.96816254,37.64858925,37.64860885,292.3440205,292.3440501
74,2307199,2.05E+18,2.05E+18,24.25860596,37.63782973,37.63783831,292.4090502,292.4090128
75,2307199,2.05E+18,2.05E+18,9.512561798,37.63657499,37.63658497,292.3583953,292.3583928
76,2307199,2.05E+18,2.05E+18,5.30322361,37.63390684,37.63390964,292.3882408,292.388234
77,2307199,2.05E+18,2.05E+18,22.52477455,37.61113946,37.61115151,292.3512952,292.3513024
78,2307199,2.05E+18,2.05E+18,10.51553154,37.60103311,37.60104444,292.3735168,292.37352
79,2307199,2.05E+18,2.05E+18,33.02922821,37.64338301,37.64339355,292.3691019,292.3691141
80,2307199,2.05E+18,2.05E+18,12.90671349,37.62857187,37.62858097,292.3619103,292.3619088
81,2307199,2.05E+18,2.05E+18,10.54531384,37.60748227,37.60749184,292.3947396,292.3947423
82,2307199,2.05E+18,2.05E+18,11.93494511,37.63332248,37.63332438,292.3752175,292.3752086
83,2307199,2.05E+18,2.05E+18,24.86659813,37.648611,37.64863374,292.3517444,292.3517585
84,2307199,2.05E+18,2.05E+18,28.06231117,37.60664171,37.60665429,292.3701114,292.3701292
