chisq,chisq_zeropm_match,chisq_zeropm_primary,dec_match_gaia,dec_match_keptime,dec_primary_gaia,dec_primary_kep,epic_primary,gaia_id_match,gaia_id_primary,gaiamag_match,ra_match_gaia,ra_match_keptime,ra_primary_gaia,ra_primary_kep
5.182684898376465,2098.21044921875,229615.4375,1.2297984342954764,1.229912088491135,1.2306237129495627,1.230738,201546283.0,3.798552811267494e+18,3.7985528155606897e+18,18.360186,171.51522070832695,171.51520993139792,171.51518738428857,171.515167
2.1028199195861816,7124.06103515625,131895.515625,2.6186695068744084,2.6186920032648553,2.619036348979746,2.61907,201637175.0,3.811002787586327e+18,3.8110027918802975e+18,17.900602,169.4823177501327,169.48243236253472,169.48270458465834,169.482819
0.7977267503738403,697.947265625,70615.890625,3.3633834000816316,3.3633478301164423,3.3638919249837134,3.363874,201683540.0,3.8119005431236076e+18,3.8119005431242604e+18,18.83446,169.2146435263404,169.2147269025032,169.2148600200733,169.214966
5.994157314300537,24.189876556396484,161.36781311035156,26.115913232672785,26.115918055408734,26.125389057078326,26.12538,202066192.0,3.432091289446012e+18,3.4320911520070707e+18,17.894753,95.21266965313521,95.21266871179913,95.2474442167893,95.247452
1.2798583507537842,14.142073631286621,161.36781311035156,26.155910522007165,26.15591411758361,26.125389057078326,26.12538,202066192.0,3.4320929043537623e+18,3.4320911520070707e+18,18.195705,95.24680040268319,95.24679722248561,95.2474442167893,95.247452
8.408286094665527,12.588053703308105,161.36781311035156,26.15837792930629,26.15838170241406,26.125389057078326,26.12538,202066192.0,3.432092938713503e+18,3.4320911520070707e+18,18.160667,95.247088094605,95.24708858944327,95.2474442167893,95.247452
6.873709678649902,37.52206039428711,161.36781311035156,26.1061707115989,26.10617390982642,26.125389057078326,26.12538,202066192.0,3.432091087582732e+18,3.4320911520070707e+18,16.821966,95.26166802287138,95.261667757605,95.2474442167893,95.247452
0.38151395320892334,131.03619384765625,161.36781311035156,26.13692118678101,26.13692413782988,26.125389057078326,26.12538,202066192.0,3.4320926294756137e+18,3.4320911520070707e+18,11.936829,95.25876053887247,95.2587588730273,95.2474442167893,95.247452
6.364631175994873,9.005014419555664,161.36781311035156,26.120963812679282,26.120977717689108,26.125389057078326,26.12538,202066192.0,3.432091152007289e+18,3.4320911520070707e+18,20.006016,95.26000179803157,95.25999774500879,95.2474442167893,95.247452
8.885598182678223,11.32908821105957,161.36781311035156,26.127459514206937,26.12748051375506,26.125389057078326,26.12538,202066192.0,3.4320925951160837e+18,3.4320911520070707e+18,20.188498,95.27733179411874,95.2773233654901,95.2474442167893,95.247452
7.749078273773193,13.247034072875977,620.1903686523438,18.62755158981882,18.62755416736596,18.6267628278228,18.62674,202066537.0,3.3646282109009946e+18,3.364627558065967e+18,19.766596,104.24365914228734,104.24367506345826,104.26603893403843,104.266029
