kic_primary,gaia_id_primary,gaia_id_match,ra_match_keptime,dec_match_keptime,ra_match_gaia,dec_match_gaia,gaiamag_match,chisq,chisq_zeropm_match,chisq_zeropm_primary,dec_primary_gaia,dec_primary_kep,ra_primary_gaia,ra_primary_kep,sep_keptime,sep_gaia
2307199.0,2.0518366891268675e+18,2.0518367922060838e+18,292.3759573353473,37.63155578923279,292.3759468375517,37.63154980608691,19.992096,6.467598915100098,11.726456642150879,154.18661499023438,37.630969323511096,37.630959,292.37475576773903,292.37476,4.033465670304673,3.9872807072602043
3246984.0,2.0521162399513966e+18,2.0521162356555965e+18,294.3689166245507,38.30714188502963,294.3689054119627,38.30712509991192,19.356106,5.604783535003662,109.35311889648438,8746.75,38.310268544520454,38.31028,294.3681122953683,294.36819,11.482170851640669,11.536051980797685
3246984.0,2.0521162399513966e+18,2.052116239951393e+18,294.3658010474882,38.31006886205366,294.3657927662914,38.31003895343173,20.72236,2.0407488346099854,11.152216911315918,8746.75,38.310268544520454,38.31028,294.3681122953683,294.36819,6.790981763994575,6.604129974162104
3642741.0,2.0528537030217953e+18,2.0528536987224975e+18,290.6396861416683,38.708703852559566,290.6396704987317,38.70868918617228,19.605635,3.3883485794067383,75.29939270019531,19584.8125,38.70764677842222,38.707668,290.6364686359919,290.63651,9.670422123415527,9.74619413860961
3749365.0,2.0527226893410307e+18,2.0527226893348754e+18,292.0666446033999,38.844064334909014,292.06662202144236,38.84404152407865,20.634542,7.434354782104492,19.087018966674805,46851.265625,38.84220041845606,38.84227,292.0683107534184,292.0683,7.954300511433922,8.145610768471467
4840513.0,2.0532460912360535e+18,2.053246091236053e+18,293.19230392338005,39.90949009162425,293.1922866508681,39.909475180485074,20.623896,6.986950397491455,10.40109920501709,10653.990234375,39.907270878818906,39.90728,293.19505945184596,293.19507,11.029430907753952,11.027290699581878
5008245.0,2.1011147730590065e+18,2.1011147730544067e+18,290.93690589794454,40.12512241185996,290.9368902845919,40.125104928868055,15.861505,4.194021701812744,4549.36181640625,10276.6796875,40.12485101813075,40.12492,290.9366595292377,290.93671,0.9065142269961162,1.1131131508421621
5115978.0,2.0764062041699323e+18,2.076406204163726e+18,296.0082781177336,40.294132796999364,296.0082685903919,40.29411382040562,19.675549,4.543054103851318,48.466705322265625,27840.408203125,40.29537923891653,40.295429,296.00693547655186,296.00699,5.855302398622882,5.843956479444918
5131276.0,2.073534863921029e+18,2.0735363413743235e+18,299.3243416910344,40.26699417990087,299.3243255102309,40.26698643121308,20.67739,1.1222325563430786,9.236136436462402,6331.67236328125,40.26533856957155,40.265339,299.3215039315961,299.32156,9.689901829940167,9.76050436069224
5386904.0,2.0737861366801987e+18,2.0737861366646697e+18,297.9469753408723,40.530478097465604,297.9469771147237,40.53046027634551,20.31405,5.280392646789551,11.011898040771484,6012.1650390625,40.53068067633253,40.530708,297.9492243527345,297.94922,6.197379009717074,6.199903573053207
5731623.0,2.073821767730333e+18,2.0738217677196792e+18,298.3173266836295,40.99459018205085,298.3173133097917,40.994568269543436,20.074533,4.696961402893066,35.575347900390625,18593.734375,40.99607248952269,40.996101,298.316688006949,298.31674,5.6677411886283116,5.6754771115942395
5731623.0,2.073821767730333e+18,2.073823245188435e+18,298.3160130461394,40.99857050073274,298.31598824570887,40.998556356702665,20.255877,0.9326770305633545,31.106849670410156,18593.734375,40.99607248952269,40.996101,298.316688006949,298.31674,9.106977572817701,9.141821276839089
5881688.0,2.0773836700019558e+18,2.0773836699963515e+18,293.49706640447994,41.14054855469982,293.49706034065366,41.14053145493173,20.659897,6.379772663116455,14.15871810913086,35710.83984375,41.137563490244084,41.137589,293.49659064634005,293.49661,10.726013127973596,10.76029225355788
5903301.0,2.073819156390137e+18,2.073819156379157e+18,298.6572044762299,41.138786224531295,298.6571941665773,41.13877644792639,19.971746,4.031885147094727,9.743438720703125,16640.896484375,41.13885579176731,41.138882,298.65830747415913,298.65833,3.0709636723975775,3.0319116227961094
5903301.0,2.073819156390137e+18,2.0738191520839885e+18,298.65659891447217,41.13626017785523,298.65659400971396,41.13624785756912,19.668243,8.984134674072266,20.90140151977539,16640.896484375,41.13885579176731,41.138882,298.65830747415913,298.65833,10.541104549771283,10.475085827707312
5903301.0,2.073819156390137e+18,2.0738191563791567e+18,298.65868999000173,41.13831289809206,298.65868359970847,41.13829253663627,19.901295,0.9018301367759705,18.186119079589844,16640.896484375,41.13885579176731,41.138882,298.65830747415913,298.65833,2.2693731904611663,2.2697052312495987
5986270.0,2.0738350262798372e+18,2.073834996220667e+18,298.3782484567476,41.297300851619646,298.3782434178122,41.297283740874306,20.243895,0.7202781438827515,14.021295547485352,5010.703125,41.29638409913827,41.296391,298.38041463619993,298.38043,6.748567343269149,6.706338761843343
5986270.0,2.0738350262798372e+18,2.073834996219689e+18,298.3782584004318,41.29439454453536,298.3782487147558,41.2943827619611,19.9021,4.974118709564209,21.25290298461914,5010.703125,41.29638409913827,41.296391,298.38041463619993,298.38043,9.282013994223735,9.285932664418372
6046540.0,2.0775868734921853e+18,2.0775868734846351e+18,293.09101455673124,41.355038728065026,293.0910068845052,41.35502298778784,20.102259,0.15030519664287567,27.351627349853516,17456.978515625,41.35550952007639,41.355518,293.0925275209096,293.09253,4.443750750973667,4.46687089845147
6046540.0,2.0775868734921853e+18,2.0775868734846464e+18,293.09331592372007,41.35501285469228,293.09330795025613,41.355000100063776,18.510843,6.574672698974609,81.88135528564453,17456.978515625,41.35550952007639,41.355518,293.0925275209096,293.09253,2.795964769536501,2.7947779678853433
